Sample	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	Kallisto_mqc-generalstats-kallisto-percent_aligned	FastQC_mqc-generalstats-fastqc-total_sequences	Kallisto_mqc-generalstats-kallisto-fragment_length	Kallisto_mqc-generalstats-kallisto-pseudoaligned_reads	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc
SRR7652563_1_trimmed_paired	135.24559891269183	136	87.49440260810898	26393989.0	287.986	23093263.0	10.0	67.45402398326989	42.0
SRR7652563_2_trimmed_paired	134.9695609102512	136		26393989.0			10.0	64.61945849871726	42.0
SRR7652565_1_trimmed_paired	135.0600921317758	136	89.08944752525062	23266457.0	270.503	20727958.0	10.0	67.1325280919966	43.0
SRR7652565_2_trimmed_paired	134.88445129398085	136		23266457.0			10.0	65.50326136225627	43.0
SRR7652566_1_trimmed_paired	135.08264049427808	136	88.45403707016581	23171086.0	276.738	20495761.0	10.0	65.31743521485743	43.0
SRR7652566_2_trimmed_paired	135.04484157540134	136		23171086.0			10.0	65.06373731774941	43.0
SRR7652567_1_trimmed_paired	135.13715952119492	136	87.91539704069916	26204568.0	281.505	23037850.0	10.0	68.12353989748206	43.0
SRR7652567_2_trimmed_paired	134.96410648708272	136		26204568.0			10.0	66.66687710441147	43.0
SRR7652568_1_trimmed_paired	135.0870160849522	136	87.154546936252	27069524.0	291.82	23592321.0	10.0	66.8638981064866	42.0
SRR7652568_2_trimmed_paired	134.8790546150719	136		27069524.0			10.0	65.29911606754439	42.0
SRR7652569_1_trimmed_paired	135.10691452282762	136	86.95425058200803	29647787.0	283.985	25780011.0	10.0	68.69273839937786	42.0
SRR7652569_2_trimmed_paired	134.88677370759578	136		29647787.0			10.0	66.7127903154821	42.0
