Module	Section	Sample Name	Source
Kallisto	all_sections	SRR7652568_1_trimmed_paired	/home/ibg-4/course/Assign/trimmed/kallisto_Lyco_D2_568.log
Kallisto	all_sections	SRR7652569_1_trimmed_paired	/home/ibg-4/course/Assign/trimmed/kallisto_Lyco_D1_569.log
Kallisto	all_sections	SRR7652566_1_trimmed_paired	/home/ibg-4/course/Assign/trimmed/kallisto_Lyco_C2_566.log
Kallisto	all_sections	SRR7652567_1_trimmed_paired	/home/ibg-4/course/Assign/trimmed/kallisto_Lyco_C1_567.log
Kallisto	all_sections	SRR7652563_1_trimmed_paired	/home/ibg-4/course/Assign/trimmed/kallisto_Lyco_D3_563.log
Kallisto	all_sections	SRR7652565_1_trimmed_paired	/home/ibg-4/course/Assign/trimmed/kallisto_Lyco_C3_565.log
FastQC	all_sections	SRR7652563_2_trimmed_paired	/home/ibg-4/course/Assign/trimmed/SRR7652563_2_trimmed_paired_fastqc.zip
FastQC	all_sections	SRR7652569_2_trimmed_paired	/home/ibg-4/course/Assign/trimmed/SRR7652569_2_trimmed_paired_fastqc.zip
FastQC	all_sections	SRR7652567_1_trimmed_paired	/home/ibg-4/course/Assign/trimmed/SRR7652567_1_trimmed_paired_fastqc.zip
FastQC	all_sections	SRR7652566_1_trimmed_paired	/home/ibg-4/course/Assign/trimmed/SRR7652566_1_trimmed_paired_fastqc.zip
FastQC	all_sections	SRR7652569_1_trimmed_paired	/home/ibg-4/course/Assign/trimmed/SRR7652569_1_trimmed_paired_fastqc.zip
FastQC	all_sections	SRR7652565_1_trimmed_paired	/home/ibg-4/course/Assign/trimmed/SRR7652565_1_trimmed_paired_fastqc.zip
FastQC	all_sections	SRR7652568_2_trimmed_paired	/home/ibg-4/course/Assign/trimmed/SRR7652568_2_trimmed_paired_fastqc.zip
FastQC	all_sections	SRR7652568_1_trimmed_paired	/home/ibg-4/course/Assign/trimmed/SRR7652568_1_trimmed_paired_fastqc.zip
FastQC	all_sections	SRR7652567_2_trimmed_paired	/home/ibg-4/course/Assign/trimmed/SRR7652567_2_trimmed_paired_fastqc.zip
FastQC	all_sections	SRR7652565_2_trimmed_paired	/home/ibg-4/course/Assign/trimmed/SRR7652565_2_trimmed_paired_fastqc.zip
FastQC	all_sections	SRR7652566_2_trimmed_paired	/home/ibg-4/course/Assign/trimmed/SRR7652566_2_trimmed_paired_fastqc.zip
FastQC	all_sections	SRR7652563_1_trimmed_paired	/home/ibg-4/course/Assign/trimmed/SRR7652563_1_trimmed_paired_fastqc.zip
