geneID	SRR7652568	SRR7652563	healthy.AVG
Solyc06g043170.3.1	3.85	3.85	3.81
Solyc01g015070.3.1	0.76	0.15	0.12
Solyc08g076580.2.1	0.59	1.43	1.97
Solyc08g008480.2.1	-0.74	-0.47	2.18
Solyc01g014103.1.1	4.85	4.69	5
Solyc04g011650.3.1	3.32	3.21	3.5
Solyc04g049610.3.1	2.78	4.17	0.82
Solyc02g087935.1.1	5.37	5.52	5.08
Solyc02g085370.3.1	1.75	2.29	2.1
Solyc01g095480.3.1	3.39	3.79	3.75
Solyc05g044580.3.1	1.61	1.66	0.98
Solyc02g065220.3.1	7.26	6.99	7.98
Solyc07g025390.3.1	3.27	3.15	3.38
Solyc08g016080.3.1	8.09	7.64	8.27
Solyc04g009610.2.1	0.74	0.73	0.42
Solyc11g007670.2.1	5.18	5.24	5.1
Solyc01g109210.2.1	4.65	4.69	4.15
Solyc08g062290.3.1	1.3	1.74	1.78
Solyc11g062120.2.1	5.6	5.58	4.88
Solyc05g006680.3.1	5.45	5.27	5.45
Solyc06g007110.3.1	5.66	5.72	5.45
Solyc07g062550.3.1	2.86	2.52	4.07
Solyc05g005210.3.1	4.1	3.58	3.7
Solyc08g016440.3.1	3.1	3.02	1.57
Solyc09g083240.3.1	2.24	2.06	2.25
Solyc03g059050.2.1	2.59	0.9	2.18
Solyc10g080940.2.1	6.28	6.64	7.21
Solyc04g005680.3.1	7.1	7.37	7.4
Solyc05g051290.3.1	1.97	1.74	2.64
Solyc04g050440.3.1	2.6	3.21	5.73
Solyc01g059853.1.1	1.15	1.61	0.8
Solyc03g078580.3.1	4.6	4.5	4.74
Solyc07g005590.3.1	6.68	6.78	6.8
Solyc06g007680.2.1	4.87	4.72	4.44
Solyc01g089960.3.1	0.06	0.8	0.35
Solyc02g032360.3.1	-0.46	-0.73	0.67
Solyc03g062910.3.1	3.25	2.77	3.19
Solyc08g014020.3.1	3.78	3.56	4.22
Solyc01g150007.1.1	2.06	2.18	1.94
Solyc09g031543.1.1	4.89	4.59	4.69
Solyc08g067670.3.1	4.42	4	4.23
Solyc10g084180.2.1	6.34	6.6	6.6
Solyc07g041510.2.1	5.92	5.95	5.5
Solyc07g009360.2.1	1.96	2.2	2.33
Solyc01g006790.2.1	4.08	4.33	3.6
Solyc05g051340.2.1	3.68	3.37	3.2
Solyc05g007250.3.1	5.97	6.35	7.22
Solyc01g011091.1.1	4.25	3.86	4.19
Solyc04g051680.3.1	3.36	2.96	3.21
Solyc04g082200.2.1	6.37	6.19	5.64
Solyc06g007430.2.1	5.41	4.97	4.12
Solyc08g036560.2.1	3.08	3.08	2.42
Solyc01g090340.2.1	6.62	6.63	5.84
Solyc08g076720.3.1	5.15	5.03	4.96
Solyc02g068930.3.1	3.49	3.69	3.98
Solyc01g095170.2.1	2.65	2.34	1.53
Solyc07g006300.3.1	5.38	5.34	5.76
Solyc03g044273.1.1	3.74	3.48	3.78
Solyc09g005730.3.1	4.93	4.86	3.52
Solyc04g079830.2.1	6.36	6.34	6.22
Solyc01g095070.3.1	3.64	3.68	5.28
Solyc02g077240.3.1	-0	0.83	0.21
Solyc03g083100.3.1	6.21	6.03	6.75
Solyc04g007825.1.1	2.07	0.65	0.16
Solyc03g044060.3.1	3.19	3.04	3.46
Solyc06g008980.3.1	-0.19	-0.56	0.31
Solyc01g005380.2.1	3.88	3.83	4.08
Solyc03g116170.3.1	2.87	2.99	3.89
Solyc04g016010.3.1	1.9	2.28	2.86
Solyc12g098590.2.1	6.96	7.01	6.81
Solyc03g082575.1.1	1.17	-0.11	1.13
Solyc09g055550.3.1	1.68	1.68	1.03
Solyc03g098750.3.1	2.53	2.75	1.88
Solyc11g008140.2.1	3.95	3.8	5.48
Solyc02g062930.3.1	3.35	3.17	3.86
Solyc09g011710.3.1	7.91	8.03	6.9
Solyc12g096860.2.1	0.69	0.24	1.23
Solyc02g063040.3.1	3.35	3.3	2.93
Solyc01g056940.2.1	6.41	6.64	7.4
Solyc06g054620.3.1	1.15	0.84	1.12
Solyc01g020230.3.1	1.16	0.86	0.58
Solyc01g014107.1.1	3.02	3.06	2.84
Solyc05g052990.3.1	2.9	3.04	2.53
Solyc01g009690.2.1	4.25	4.29	3.79
Solyc06g052080.3.1	5.16	5.16	5.11
Solyc01g014180.3.1	7.28	7.37	6.28
Solyc03g031650.3.1	2.51	2.69	2.47
Solyc11g072410.2.1	4.22	4.34	3.82
Solyc09g083445.1.1	8.45	9.64	2.59
Solyc11g006650.2.1	1.05	1.77	1.71
Solyc01g111080.3.1	6.53	6.45	7.56
Solyc04g071540.3.1	4.24	4.24	4.57
Solyc06g050840.3.1	3.37	3.51	3.74
