target_id	length	eff_length	est_counts	tpm
Solyc06g043170.3.1	2786	2495.18	346.287	5.67138
Solyc05g010600.3.1	1637	1346.18	0	0
Solyc04g017960.2.1	150	38.6537	0	0
Solyc04g045315.1.1	1611	1320.18	0	0
Solyc04g072770.3.1	3093	2802.18	41.0075	0.598028
Solyc01g015070.3.1	608	320.081	38	4.85152
Solyc08g076580.2.1	758	468.226	33.6563	2.93741
Solyc08g008480.2.1	1106	815.18	12.2962	0.616415
Solyc01g014103.1.1	1428	1137.18	693	24.9034
Solyc04g011650.3.1	2656	2365.18	240	4.14669
Solyc11g065557.1.1	2040	1749.18	0	0
Solyc04g049610.3.1	4183	3892.18	164.262	1.72464
Solyc02g087935.1.1	2256	1965.18	995.755	20.7064
Solyc02g085370.3.1	4460	4169.18	79.5976	0.780196
Solyc01g095480.3.1	2429	2138.18	251.883	4.81402
Solyc05g044580.3.1	629	340.782	70	8.39413
Solyc02g065220.3.1	3659	3368.18	3695	44.8305
Solyc04g017890.2.1	969	678.248	0	0
Solyc05g009620.3.1	2000	1709.18	0	0
Solyc07g025390.3.1	1666	1375.18	230	6.83475
Solyc01g090660.3.1	2518	2227.18	1	0.0183484
Solyc11g020875.1.1	1848	1557.18	8	0.209945
Solyc12g035822.1.1	447	173.57	0	0
Solyc08g016080.3.1	2196	1905.18	6581	141.16
Solyc07g039230.2.1	345	100.911	0	0
Solyc06g048800.2.1	648	359.431	0	0
Solyc06g016800.2.1	933	642.248	0	0
Solyc09g090530.3.1	861	570.429	12.0696	0.864664
Solyc04g009610.2.1	353	105.488	37	14.3336
Solyc07g055960.2.1	123	29.0714	2	2.81137
Solyc11g007670.2.1	3293	3002.18	877	11.9376
Solyc03g116240.3.1	330	92.5218	0	0
Solyc01g109210.2.1	1641	1350.18	602.887	18.2473
Solyc08g062290.3.1	1120	829.18	57	2.80919
Solyc11g062120.2.1	3045	2754.18	1174	17.4193
Solyc05g006680.3.1	2159	1868.18	1054	23.0556
Solyc07g009550.2.1	324	89.2694	0	0
Solyc02g093650.3.1	2422	2131.18	3	0.0575248
Solyc06g070910.2.1	1456	1165.18	0	0
Solyc05g013120.3.1	1106	815.18	0	0
